symbol	ensg	cell_type	baseMean	log2FoldChange	pvalue	padj
C11orf68	ENSG00000175573	Ortho	1832.1	1.4	1.71e-9	3.826e-8
KCTD21	ENSG00000188997	Ortho	309.1	-1.9	1.031e-9	3.829e-8
PRPF4	ENSG00000136875	Ortho	1876.7	1.1	2.785e-9	4.121e-8
TANC1	ENSG00000115183	Ortho	817.7	-2.1	1.958e-9	4.125e-8
QPRT	ENSG00000103485	Ortho	1147.6	-2	1.709e-9	4.141e-8
NUTM2A-AS1	ENSG00000223482	Ortho	3890.4	1.9	2.153e-9	4.183e-8
QPRT	ENSG00000103485	Ortho	1147.6	-2	1.709e-9	4.302e-8
EIF3A	ENSG00000107581	Ortho	25541.4	0.9	2.076e-9	4.384e-8
FTH1P12	ENSG00000213362	Ortho	179	2.8	1.439e-9	4.662e-8
NBAS	ENSG00000151779	Ortho	8180.2	-1.5	2.26e-9	4.749e-8
XXYLT1	ENSG00000173950	Ortho	738.4	-2.6	2.28e-9	4.749e-8
ISOC1	ENSG00000066583	Ortho	1186.7	1.3	2.232e-9	4.9e-8
HIPK3	ENSG00000110422	Ortho	5421.8	1.3	2.723e-9	4.952e-8
KIF5B	ENSG00000170759	Ortho	6350.4	1.2	2.85e-9	5.247e-8
ASAP3	ENSG00000088280	Ortho	539.7	-2.8	2.413e-9	5.261e-8
CNBP	ENSG00000169714	Ortho	12482	0.9	2.521e-9	5.261e-8
AP001324.1	ENSG00000227615	Ortho	278.7	2	1.648e-9	5.265e-8
PFDN6	ENSG00000204220	Ortho	1704.4	1.2	3.696e-9	5.331e-8
TCF20	ENSG00000100207	Ortho	3588	1.1	2.451e-9	5.345e-8
MYO18B	ENSG00000133454	Ortho	357.4	-3.5	2.478e-9	5.366e-8
ARF3	ENSG00000134287	Ortho	2522	-2.5	3.918e-9	5.6e-8
PRKCI	ENSG00000163558	Ortho	1552.2	-1.2	1.783e-9	5.698e-8
LETM2	ENSG00000165046	Ortho	56.9	2.7	1.719e-9	6.006e-8
LRCH4	ENSG00000077454	Ortho	2229.9	-1.2	4.224e-9	6.032e-8
FAM120A	ENSG00000048828	Ortho	7963.2	1	2.962e-9	6.078e-8
MAPRE3	ENSG00000084764	Ortho	479.8	-2.3	3.01e-9	6.083e-8
TUBGCP3	ENSG00000126216	Ortho	2737.9	-1.6	3.046e-9	6.171e-8
ACTRT3	ENSG00000184378	Ortho	62.7	2.5	1.861e-9	6.192e-8
PTK2	ENSG00000169398	Ortho	2801.5	-1.3	3.069e-9	6.197e-8
ZNHIT3	ENSG00000273611	Ortho	1194.5	1.4	2.01e-9	6.339e-8
YRDC	ENSG00000196449	Ortho	1137.3	1.2	2.082e-9	6.554e-8
AP2A2	ENSG00000183020	Ortho	2352.3	-1.2	4.335e-9	6.589e-8
TGFB1	ENSG00000105329	Ortho	2045	-2.2	4.417e-9	6.703e-8
YWHAG	ENSG00000170027	Ortho	10509.1	0.8	3.421e-9	6.916e-8
AGRN	ENSG00000188157	Ortho	1065.7	-2	2.883e-9	6.925e-8
AC138969.1	ENSG00000183889	Ortho	7327	-2.3	3.652e-9	7.075e-8
PTGS1	ENSG00000095303	Ortho	1426.1	-2.6	3.032e-9	7.258e-8
AGO4	ENSG00000134698	Ortho	760.9	-2.7	2.819e-9	7.625e-8
UNC5B	ENSG00000107731	Ortho	183	-8.9	2.499e-9	7.684e-8
UFC1	ENSG00000143222	Ortho	3641.3	0.9	3.875e-9	7.684e-8
LINC-PINT	ENSG00000231721	Ortho	362.6	2.4	3.689e-9	7.716e-8
TRIM62	ENSG00000116525	Ortho	156.5	-1.8	2.25e-9	7.811e-8
NDUFB10	ENSG00000140990	Ortho	1664.7	0.9	5.661e-9	7.834e-8
AKIP1	ENSG00000166452	Ortho	492.7	1.3	4.834e-9	7.837e-8
GRK3	ENSG00000100077	Ortho	975.2	-2.3	2.945e-9	7.862e-8
TMEM81	ENSG00000174529	Ortho	136.4	1.4	2.432e-9	7.862e-8
MORF4L1P1	ENSG00000218283	Ortho	373.6	3.1	4.369e-9	7.924e-8
OAT	ENSG00000065154	Ortho	21971.8	-1.1	4.141e-9	8.105e-8
PTBP3	ENSG00000119314	Ortho	7014.3	1.1	4.832e-9	8.28e-8
PDRG1	ENSG00000088356	Ortho	864	1.4	3.693e-9	8.302e-8
ZNF512	ENSG00000243943	Ortho	1342.7	-2	4.319e-9	8.413e-8
ITPK1	ENSG00000100605	Ortho	1597.2	1.1	4.144e-9	8.501e-8
CACYBP	ENSG00000116161	Ortho	4201.5	1.2	4.991e-9	8.501e-8
PSMB2	ENSG00000126067	Ortho	3841.2	0.9	4.41e-9	8.549e-8
FNTA	ENSG00000168522	Ortho	1937.9	1	6.342e-9	8.609e-8
GID4	ENSG00000141034	Ortho	2051.6	1	4.253e-9	8.682e-8
MFSD5	ENSG00000182544	Ortho	995.7	1.4	4.542e-9	8.762e-8
SCNM1	ENSG00000163156	Ortho	1027.1	0.8	4.574e-9	8.797e-8
SCNM1	ENSG00000163156	Ortho	1027.1	0.8	4.574e-9	8.797e-8
ARID1B	ENSG00000049618	Ortho	7096.6	0.9	4.863e-9	9.063e-8
ARHGEF37	ENSG00000183111	Ortho	2646	2.1	6.769e-9	9.101e-8
NDFIP1	ENSG00000131507	Ortho	5568.3	1.2	5.463e-9	9.298e-8
CCDC117	ENSG00000159873	Ortho	5815.7	1.5	5.508e-9	9.359e-8
PKN2	ENSG00000065243	Ortho	2930.3	1.2	4.696e-9	9.514e-8
STOM	ENSG00000148175	Ortho	59193.8	1.6	5.648e-9	9.567e-8
UBBP4	ENSG00000263563	Ortho	352.2	2.3	4.352e-9	9.569e-8
CASC3	ENSG00000108349	Ortho	6593.2	0.9	5.173e-9	9.825e-8
YBX1	ENSG00000065978	Ortho	52560.1	0.9	5.404e-9	9.944e-8
ZNF623	ENSG00000183309	Ortho	887.5	-1.4	4.518e-9	9.944e-8
PGS1	ENSG00000087157	Ortho	826.8	-1.7	4.638e-9	1.019e-7
EIF4EBP1	ENSG00000187840	Ortho	2102.7	-2	7.974e-9	1.051e-7
MED31	ENSG00000108590	Ortho	228.8	1.4	3.18e-9	1.052e-7
FUT8	ENSG00000033170	Ortho	1080.1	-2.4	4.79e-9	1.083e-7
TMEM126B	ENSG00000171204	Ortho	1182.2	1	6.036e-9	1.134e-7
YBX1P1	ENSG00000224861	Ortho	224.2	2.2	3.514e-9	1.158e-7
METTL16	ENSG00000127804	Ortho	1538.1	1.4	6.425e-9	1.203e-7
AZIN1	ENSG00000155096	Ortho	8511.8	1.2	6.549e-9	1.225e-7
RAC2	ENSG00000128340	Ortho	4333.2	-1.6	7.096e-9	1.226e-7
PCBP2	ENSG00000197111	Ortho	41638.1	0.7	7.499e-9	1.226e-7
DOCK9	ENSG00000088387	Ortho	1191.7	-2.2	6.591e-9	1.227e-7
BCAT1	ENSG00000060982	Ortho	5899.8	-1.9	6.619e-9	1.242e-7
GNG2	ENSG00000186469	Ortho	1432.4	-2.6	6.768e-9	1.256e-7
DPY19L1	ENSG00000173852	Ortho	1840.4	-1.1	9.802e-9	1.267e-7
SHMT2	ENSG00000182199	Ortho	7229	-1.6	7.803e-9	1.267e-7
GADD45G	ENSG00000130222	Ortho	182.5	-3.2	4.532e-9	1.274e-7
SENP3	ENSG00000161956	Ortho	2365.6	1	9.914e-9	1.275e-7
PTMA	ENSG00000187514	Ortho	46088.2	1	7.886e-9	1.275e-7
FTH1P20	ENSG00000226564	Ortho	376.7	2.5	6.647e-9	1.291e-7
WHAMMP2	ENSG00000248334	Ortho	208.4	2.9	4.622e-9	1.309e-7
BLOC1S1	ENSG00000135441	Ortho	2895.4	1	7.17e-9	1.314e-7
DYNLL2	ENSG00000264364	Ortho	6966.5	1	8.2e-9	1.316e-7
IMPA2	ENSG00000141401	Ortho	1388.9	-2	7.3660000000000004e-09	1.346e-7
SNX16	ENSG00000104497	Ortho	1105.1	1.6	6.476e-9	1.362e-7
DHPS	ENSG00000095059	Ortho	1809.8	1.1	7.122e-9	1.371e-7
CEP164	ENSG00000110274	Ortho	1244.7	-1.4	7.14e-9	1.373e-7
CBX5	ENSG00000094916	Ortho	11086.9	-1.1	8.688e-9	1.384e-7
CD82	ENSG00000085117	Ortho	5191.2	1.6	8.839e-9	1.426e-7
PTMA	ENSG00000187514	Ortho	46088.2	1	7.886e-9	1.428e-7
RABGAP1L	ENSG00000152061	Ortho	5853.3	1	8.083e-9	1.46e-7
ZNF707	ENSG00000181135	Ortho	204.7	-2.4	5.241e-9	1.46e-7
SMU1	ENSG00000122692	Ortho	3117.3	0.9	8.862e-9	1.4780000000000001e-07
Z82206.1	ENSG00000225528	Ortho	178.1	-2.4	5.322e-9	1.4780000000000001e-07
NBEAL2	ENSG00000160796	Ortho	1273.4	-2.1	7.194e-9	1.491e-7
TRIM11	ENSG00000154370	Ortho	2514	-0.9	1.184e-8	1.491e-7
DNAJA4	ENSG00000140403	Ortho	14437	1.6	9.367e-9	1.493e-7
SDHA	ENSG00000073578	Ortho	6819.4	1	8.589e-9	1.538e-7
EI24	ENSG00000149547	Ortho	2929.8	1.1	9.791e-9	1.556e-7
CEP295	ENSG00000166004	Ortho	1659.6	-1.9	1.249e-8	1.557e-7
SNX3	ENSG00000112335	Ortho	13644.9	1.1	8.801e-9	1.584e-7
SF3A3	ENSG00000183431	Ortho	4707.8	0.7	1.041e-8	1.625e-7
ZNF707	ENSG00000181135	Ortho	204.7	-2.4	5.241e-9	1.636e-7
WDR89	ENSG00000140006	Ortho	793	1.8	8.32e-9	1.701e-7
GP1BA	ENSG00000185245	Ortho	78.8	-4.3	4.229e-9	1.734e-7
NR2C2AP	ENSG00000184162	Ortho	534.4	1.4	8.499e-9	1.738e-7
RPSA	ENSG00000168028	Ortho	64420.5	-1.4	1.161e-8	1.799e-7
PPTC7	ENSG00000196850	Ortho	2390.3	1.6	1.376e-8	1.837e-7
MTMR2	ENSG00000087053	Ortho	1589.8	-1.3	1.058e-8	1.864e-7
NEK4	ENSG00000114904	Ortho	995.3	1.3	9.389e-9	1.903e-7
MED29	ENSG00000063322	Ortho	2091.1	0.8	1.036e-8	1.922e-7
PGD	ENSG00000142657	Ortho	11796.1	-1.9	1.087e-8	1.925e-7
THOC7	ENSG00000163634	Ortho	2526.5	1.2	1.587e-8	1.947e-7
KREMEN1	ENSG00000183762	Ortho	1697.5	-2.3	1.113e-8	1.947e-7
AC091153.1	ENSG00000213939	Ortho	90.7	3	5.188e-9	1.974e-7
NUDC	ENSG00000090273	Ortho	4381.2	1.2	1.29e-8	2.001e-7
DESI1	ENSG00000100418	Ortho	2007.7	-1.3	1.095e-8	2.015e-7
TMA7	ENSG00000232112	Ortho	4140.7	1.2	1.113e-8	2.055e-7
AP000547.3	ENSG00000283633	Ortho	486.5	-2	1.223e-8	2.114e-7
RPL3L	ENSG00000140986	Ortho	44.8	4.4	7.148e-9	2.12e-7
PPA1	ENSG00000180817	Ortho	3391.9	1.6	1.225e-8	2.12e-7
KANK2	ENSG00000197256	Ortho	9925.5	1.4	1.22e-8	2.13e-7
AC078802.1	ENSG00000269889	Ortho	100	2.6	5.674e-9	2.135e-7
RFX5	ENSG00000143390	Ortho	2761.9	-1.1	1.344e-8	2.144e-7
PIEZO1	ENSG00000103335	Ortho	8752.3	-2	1.299e-8	2.171e-7
DDX52	ENSG00000278053	Ortho	6619.3	1.4	1.326e-8	2.302e-7
AC093323.1	ENSG00000170846	Ortho	647.4	1.4	1.188e-8	2.35e-7
ZMYM4	ENSG00000146463	Ortho	2063.5	-1.7	1.306e-8	2.365e-7
STARD5	ENSG00000172345	Ortho	265.4	1.8	7.893e-9	2.373e-7
UBE2Q1	ENSG00000160714	Ortho	3138.7	1	1.391e-8	2.377e-7
BLOC1S2	ENSG00000196072	Ortho	2038.5	0.8	1.422e-8	2.427e-7
USP39	ENSG00000168883	Ortho	3777.2	-0.8	1.629e-8	2.435e-7
ACTBP2	ENSG00000213763	Ortho	57.3	3	8.407e-9	2.451e-7
CDKL3	ENSG00000006837	Ortho	75.6	2.2	5.992e-9	2.48e-7
ZSCAN26	ENSG00000197062	Ortho	656.2	0.9	1.274e-8	2.493e-7
PRMT5	ENSG00000100462	Ortho	3066.3	1.1	1.682e-8	2.501e-7
KRT10	ENSG00000186395	Ortho	470.7	-1.2	1.426e-8	2.551e-7
SEL1L3	ENSG00000091490	Ortho	872.8	-2.7	1.315e-8	2.585e-7
SLC45A3	ENSG00000158715	Ortho	732.1	-1.9	1.158e-8	2.658e-7
SSBP3	ENSG00000157216	Ortho	9012.3	0.8	1.815e-8	2.682e-7
RBM8B	ENSG00000258427	Ortho	38.3	2.9	4.097e-9	2.754e-7
JOSD1	ENSG00000100221	Ortho	5503.1	1.2	1.646e-8	2.767e-7
RRM2	ENSG00000171848	Ortho	13241.6	-2.2	1.642e-8	2.783e-7
CALM2P2	ENSG00000229097	Ortho	48.9	2.5	7.752e-9	2.783e-7
MTFR1L	ENSG00000117640	Ortho	1044.9	-1.3	1.412e-8	2.84e-7
P3H1	ENSG00000117385	Ortho	1362.1	-1.4	1.105e-8	2.885e-7
ANKRD18B	ENSG00000230453	Ortho	389.1	-1.7	1.736e-8	2.885e-7
CMIP	ENSG00000153815	Ortho	1896.8	-1.3	2.479e-8	2.887e-7
KBTBD2	ENSG00000170852	Ortho	4347.4	1	1.958e-8	2.899e-7
RFX7	ENSG00000181827	Ortho	2992.7	1	1.887e-8	2.904e-7
ITGA5	ENSG00000161638	Ortho	1940.9	-3.1	2.51e-8	2.911e-7
RPL7L1	ENSG00000146223	Ortho	6821.6	1	1.99e-8	2.935e-7
DLST	ENSG00000119689	Ortho	6122	-0.8	1.846e-8	2.966e-7
SPINK4	ENSG00000122711	Ortho	286	4.1	1.035e-8	3.005e-7
ZSCAN16-AS1	ENSG00000269293	Ortho	407.4	1.4	2.234e-8	3.036e-7
ABT1	ENSG00000146109	Ortho	1178.2	1.1	1.623e-8	3.085e-7
SND1	ENSG00000197157	Ortho	9919.1	-1.2	1.94e-8	3.1e-7
CDCA5	ENSG00000146670	Ortho	3480.1	-1.9	1.901e-8	3.127e-7
TPTEP1	ENSG00000100181	Ortho	388.8	-2.3	2.081e-8	3.162e-7
GRPEL1	ENSG00000109519	Ortho	1468.6	1.4	1.243e-8	3.191e-7
FAM120AOS	ENSG00000188938	Ortho	2277.2	0.9	1.958e-8	3.207e-7
RBM19	ENSG00000122965	Ortho	1754.6	0.8	2.813e-8	3.228e-7
NKIRAS2	ENSG00000168256	Ortho	1930.3	0.9	2.626e-8	3.241e-7
TMEM11	ENSG00000178307	Ortho	1622.2	1	1.653e-8	3.241e-7
MED28	ENSG00000118579	Ortho	6343.1	0.9	2.314e-8	3.303e-7
PTPDC1	ENSG00000158079	Ortho	186.4	-3	1.309e-8	3.303e-7
SDHD	ENSG00000204370	Ortho	2633.3	1	2.689e-8	3.306e-7
PECAM1	ENSG00000261371	Ortho	951.8	-4.6	1.769e-8	3.337e-7
TSNAXIP1	ENSG00000102904	Ortho	97.3	3.3	8.671e-9	3.407e-7
EXOC6B	ENSG00000144036	Ortho	340.1	-1.8	2.282e-8	3.418e-7
ESPL1	ENSG00000135476	Ortho	4406.9	-1.8	2.449e-8	3.47e-7
MOSPD3	ENSG00000106330	Ortho	830.9	-2	2.061e-8	3.515e-7
CUL3	ENSG00000036257	Ortho	4481.9	1.2	2.448e-8	3.653e-7
HSPBAP1	ENSG00000169087	Ortho	356.3	1.6	2.762e-8	3.66e-7
TK1	ENSG00000167900	Ortho	5828.3	-1.6	2.263e-8	3.674e-7
CPED1	ENSG00000106034	Ortho	475	-3.3	2.317e-8	3.705e-7
AATF	ENSG00000275700	Ortho	2461.8	1	2.317e-8	3.715e-7
LPCAT2	ENSG00000087253	Ortho	619.2	-5.2	2.019e-8	3.726e-7
PTGES3P3	ENSG00000229204	Ortho	30.1	4.1	1.37e-8	3.753e-7
IGFBP4	ENSG00000141753	Ortho	428.1	4.1	2.995e-8	3.936e-7
LRRC8D	ENSG00000171492	Ortho	2378.8	-1.1	2.487e-8	3.967e-7
EXOSC6	ENSG00000223496	Ortho	2322.8	-1.1	2.509e-8	3.997e-7
SHISA5	ENSG00000164054	Ortho	4598.6	1	2.556e-8	4.066e-7
VPS53	ENSG00000141252	Ortho	1524.9	-0.7	2.228e-8	4.079e-7
YTHDF2	ENSG00000198492	Ortho	3351.4	0.8	2.696e-8	4.278e-7
VSIG10	ENSG00000176834	Ortho	164.4	-3.7	1.756e-8	4.315e-7
ADCY5	ENSG00000173175	Ortho	34.7	3.5	1.292e-8	4.378e-7
GSR	ENSG00000104687	Ortho	6085.1	1.6	3.175e-8	4.463e-7
MELK	ENSG00000165304	Ortho	1836.9	-2	4.033e-8	4.464e-7
RRP1	ENSG00000160214	Ortho	1064.6	1.5	2.435e-8	4.607e-7
POLR1C	ENSG00000171453	Ortho	692.1	1.3	2.514e-8	4.607e-7
PRKAR2A	ENSG00000114302	Ortho	1872.1	-1.2	2.96e-8	4.654e-7
AK3	ENSG00000147853	Ortho	1838.1	-1.4	2.969e-8	4.657e-7
CCDC68	ENSG00000166510	Ortho	228.7	-3.7	1.69e-8	4.657e-7
BAP1	ENSG00000163930	Ortho	8807.4	0.8	3.437e-8	4.721e-7
ERICH1	ENSG00000104714	Ortho	583.2	-1.6	2.251e-8	4.788e-7
SH3BGRL3	ENSG00000142669	Ortho	13867.1	2.1	3.526e-8	4.831e-7
CCDC134	ENSG00000100147	Ortho	224.5	-1.7	2.003e-8	4.847e-7
TOP3B	ENSG00000100038	Ortho	784.5	-1.9	2.97e-8	4.89e-7
JPT1	ENSG00000189159	Ortho	3021	1.1	3.582e-8	4.957e-7
DROSHA	ENSG00000113360	Ortho	2280.7	-1.3	3.248e-8	5.048e-7
INTS12	ENSG00000138785	Ortho	839.3	0.9	2.802e-8	5.057e-7
TPGS2	ENSG00000134779	Ortho	9102.8	1	3.263e-8	5.107e-7
TAP2	ENSG00000204267	Ortho	951.6	1.6	3.363e-8	5.502e-7
PIGN	ENSG00000197563	Ortho	1224.2	-1	3.094e-8	5.513e-7
SPART	ENSG00000133104	Ortho	5899.4	0.8	4.065e-8	5.581e-7
CINP	ENSG00000100865	Ortho	896.9	1.1	3.116e-8	5.588e-7
DYRK1A	ENSG00000157540	Ortho	12543.5	1.2	3.664e-8	5.645e-7
CSTB	ENSG00000160213	Ortho	3631.6	2.2	3.727e-8	5.734e-7
ANKLE2	ENSG00000176915	Ortho	3081.9	-1	4.266e-8	5.749e-7
SKAP2	ENSG00000005020	Ortho	1738.8	-1.3	5.372e-8	5.758e-7
ITGA2B	ENSG00000005961	Ortho	3093	-3.4	4.327e-8	5.806e-7
INTS9	ENSG00000104299	Ortho	837.9	-1.4	2.793e-8	5.806e-7
AMD1	ENSG00000123505	Ortho	8744.1	1.3	4.268e-8	5.806e-7
ALDH1B1	ENSG00000137124	Ortho	1073.6	-2.9	2.43e-8	5.806e-7
TMEM242	ENSG00000215712	Ortho	2143.2	1.3	3.616e-8	5.827e-7
DDX47	ENSG00000213782	Ortho	2033.5	0.9	3.851e-8	6.197e-7
POGZ	ENSG00000143442	Ortho	4116.9	-0.9	4.078e-8	6.203e-7
HGS	ENSG00000185359	Ortho	3365.2	-0.8	4.257e-8	6.467e-7
ORAI3	ENSG00000175938	Ortho	803.1	-2.3	4.226e-8	6.775e-7
NOLC1	ENSG00000166197	Ortho	6606.4	1.1	4.752e-8	6.982e-7
SMIM29	ENSG00000186577	Ortho	414.5	2	5.605e-8	6.982e-7
ZNF273	ENSG00000198039	Ortho	1490.1	-1.8	4.377e-8	6.99e-7
UGP2	ENSG00000169764	Ortho	1899.7	-0.8	4.385e-8	6.995e-7
RNF215	ENSG00000099999	Ortho	333.1	-2.3	5.028e-8	7.015e-7
RRN3	ENSG00000085721	Ortho	2211.7	1.6	6.693e-8	7.061e-7
STARD10	ENSG00000214530	Ortho	192.8	1.6	2.672e-8	7.061e-7
FTH1P3	ENSG00000213453	Ortho	200.9	2.5	3.022e-8	7.072e-7
KANSL3	ENSG00000114982	Ortho	5693.8	1.2	5.393e-8	7.096e-7
ARPC1B	ENSG00000130429	Ortho	2477.1	-2	6.752e-8	7.097e-7
FBXW4	ENSG00000107829	Ortho	1616.2	1.1	3.098e-8	7.255e-7
TUBA1A	ENSG00000167552	Ortho	4533	-1.9	4.596e-8	7.297e-7
KIAA0556	ENSG00000047578	Ortho	581.2	-1.2	5.986e-8	7.356e-7
THOC5	ENSG00000100296	Ortho	1893.8	-1	7.123e-8	7.42e-7
AC002464.1	ENSG00000260188	Ortho	82.1	5.8	2.085e-8	7.519e-7
RBM8A	ENSG00000265241	Ortho	5863.1	0.9	5.004e-8	7.519e-7
PLEKHF1	ENSG00000166289	Ortho	57.6	-2.9	1.606e-8	7.641e-7
CD244	ENSG00000122223	Ortho	494.7	3.3	5.2100000000000003e-08	7.696e-7
CYP2R1	ENSG00000186104	Ortho	221.3	-3.2	3.367e-8	7.696e-7
AC116407.1	ENSG00000214708	Ortho	30.5	-3.9	2.272e-8	7.783e-7
ZNF197	ENSG00000186448	Ortho	765.8	-2	5.013e-8	7.832e-7
MRPS18C	ENSG00000163319	Ortho	1233	1.1	5.038e-8	7.86e-7
HERC3	ENSG00000138641	Ortho	1174.3	-1.9	5.456e-8	8.047e-7
PCSK6	ENSG00000140479	Ortho	757.7	-3.1	4.75e-8	8.064e-7
HNRNPC	ENSG00000092199	Ortho	34106.6	1.1	6.303e-8	8.133e-7
ZMYM5	ENSG00000132950	Ortho	1126	1.2	3.589e-8	8.253e-7
THAP12	ENSG00000137492	Ortho	2885.1	0.8	6.225e-8	8.457e-7
CEP89	ENSG00000121289	Ortho	560	-1.6	7.098e-8	8.564e-7
TMEM87A	ENSG00000103978	Ortho	1049.6	0.8	3.797e-8	8.7e-7
CYFIP2	ENSG00000055163	Ortho	1752.6	-2.9	5.867e-8	9.066e-7
AP1G2	ENSG00000213983	Ortho	1240.6	-2	3.974e-8	9.082e-7
PPP1R12B	ENSG00000077157	Ortho	1045.3	-1.4	6.038e-8	9.307e-7
HERC3	ENSG00000138641	Ortho	1174.3	-1.9	5.456e-8	9.553e-7
CUTA	ENSG00000112514	Ortho	3463.9	1.5	7.105e-8	9.572e-7
ZNF197	ENSG00000186448	Ortho	765.8	-2	5.013e-8	9.911e-7
ZNF639	ENSG00000121864	Ortho	2401.7	0.9	1.041e-7	1.056e-6
SZRD1	ENSG00000055070	Ortho	5168.7	0.8	8.221e-8	1.06e-6
CCDC6	ENSG00000108091	Ortho	2823.4	1.4	7.985e-8	1.071e-6
CYTH2	ENSG00000105443	Ortho	2224.6	-1	7.411e-8	1.072e-6
PAN2	ENSG00000135473	Ortho	1852.3	-1.4	1.06e-7	1.075e-6
RPL41	ENSG00000229117	Ortho	74791.7	1.1	7.56e-8	1.091e-6
FAM13A	ENSG00000138640	Ortho	2345.4	1.6	7.278e-8	1.109e-6
MFHAS1	ENSG00000147324	Ortho	19290.5	1.5	8.806e-8	1.112e-6
INO80C	ENSG00000153391	Ortho	831	1.1	7.74e-8	1.113e-6
CDK4	ENSG00000135446	Ortho	9344.1	1.5	8.033e-8	1.12e-6
LRP12	ENSG00000147650	Ortho	229.8	-2.6	5.022e-8	1.123e-6
PARP11	ENSG00000111224	Ortho	720.9	1	6.835e-8	1.129e-6
MTG2	ENSG00000101181	Ortho	1137	0.9	6.563e-8	1.129e-6
ATP2A3	ENSG00000074370	Ortho	3458.1	-4.2	8.879e-8	1.129e-6
TBC1D31	ENSG00000156787	Ortho	895.6	-1.4	7.653e-8	1.155e-6
ZNF618	ENSG00000157657	Ortho	858.3	3.1	7.701e-8	1.161e-6
SNHG9	ENSG00000255198	Ortho	161.2	1.9	5.309e-8	1.173e-6
KANSL1-AS1	ENSG00000214401	Ortho	71.2	3.2	3.641e-8	1.199e-6
SLC25A36	ENSG00000114120	Ortho	2589.3	1.3	8.502e-8	1.209e-6
CISH	ENSG00000114737	Ortho	4491.7	-2	9.575e-8	1.209e-6
DPY19L3	ENSG00000178904	Ortho	797.1	-1.9	7.425e-8	1.213e-6
ZFP41	ENSG00000181638	Ortho	255.1	-3	5.523e-8	1.219e-6
TYK2	ENSG00000105397	Ortho	3832.5	-1.2	9.976e-8	1.238e-6
CYSLTR2	ENSG00000152207	Ortho	226.9	3.8	5.786e-8	1.245e-6
KANSL1-AS1	ENSG00000214401	Ortho	71.2	3.2	3.641e-8	1.251e-6
DIS3L2	ENSG00000144535	Ortho	823.6	-1.4	8.444e-8	1.258e-6
MMADHC	ENSG00000168288	Ortho	6985.4	1.2	1.027e-7	1.268e-6
ATP6V0D1	ENSG00000159720	Ortho	5310.5	1.2	9.806e-8	1.277e-6
RTN2	ENSG00000125744	Ortho	124.4	-2	3.789e-8	1.291e-6
AC025423.2	ENSG00000256664	Ortho	611.2	1.4	6.788e-8	1.295e-6
WEE1	ENSG00000166483	Ortho	3760.6	1.1	1.028e-7	1.333e-6
RPL7AP6	ENSG00000242071	Ortho	345.4	2.1	9.034e-8	1.336e-6
HIP1R	ENSG00000130787	Ortho	408.2	-1.4	1.034e-7	1.337e-6
KMT5A	ENSG00000183955	Ortho	6047.7	-0.9	1.076e-7	1.337e-6
SAP18	ENSG00000150459	Ortho	4852.9	0.9	9.022e-8	1.337e-6
FBXO7	ENSG00000100225	Ortho	64766.2	1.4	9.839e-8	1.371e-6
SMPDL3B	ENSG00000130768	Ortho	174.4	3.5	6.467e-8	1.396e-6
WDR82	ENSG00000164091	Ortho	7889	0.9	1.007e-7	1.401e-6
STX8	ENSG00000170310	Ortho	722.9	-1.7	1.033e-7	1.435e-6
MAP4	ENSG00000047849	Ortho	3016.3	-1.6	1.015e-7	1.495e-6
PLLP	ENSG00000102934	Ortho	176.1	-1.8	7.039e-8	1.52e-6
AC099336.1	ENSG00000232626	Ortho	39.7	2.8	5.16e-8	1.53e-6
ZNF385A	ENSG00000161642	Ortho	660.4	2.5	1.107e-7	1.53e-6
EFNA1	ENSG00000169242	Ortho	110.2	4.9	4.656e-8	1.559e-6
PHF20	ENSG00000025293	Ortho	2689.1	1.3	1.073e-7	1.564e-6
ZDBF2	ENSG00000204186	Ortho	267.2	-3.6	6.786e-8	1.642e-6
SLC19A2	ENSG00000117479	Ortho	427.4	1.4	1.232e-7	1.686e-6
OBSL1	ENSG00000124006	Ortho	614.6	-3.1	1.055e-7	1.686e-6
RPL21P131	ENSG00000232429	Ortho	32.7	4.1	3.861e-8	1.698e-6
PRELID1	ENSG00000169230	Ortho	3236.5	1.6	1.272e-7	1.745e-6
VPS37B	ENSG00000139722	Ortho	3302.6	1.3	1.41e-7	1.788e-6
SMURF2	ENSG00000108854	Ortho	628	-1.6	1.129e-7	1.797e-6
CAPN5	ENSG00000149260	Ortho	726.3	2.2	1.148e-7	1.824e-6
SUPV3L1	ENSG00000156502	Ortho	1413	1	1.159e-7	1.824e-6
PKD1P6	ENSG00000250251	Ortho	1373.5	-2	1.269e-7	1.829e-6
ADNP	ENSG00000101126	Ortho	6009.7	0.9	1.534e-7	1.859e-6
SSRP1	ENSG00000149136	Ortho	12220.5	-1.2	1.391e-7	1.894e-6
ADAM15	ENSG00000143537	Ortho	1291.8	1.6	8.931e-8	1.9e-6
CHTF8	ENSG00000168802	Ortho	1650.9	-1.3	2.025e-7	1.929e-6
RAB21	ENSG00000080371	Ortho	4084.1	1.2	1.451e-7	1.969e-6
NEK9	ENSG00000119638	Ortho	4480.5	-0.9	1.471e-7	1.993e-6
HMG20B	ENSG00000064961	Ortho	1604.8	-1.2	9.598e-8	2.032e-6
ACAD10	ENSG00000111271	Ortho	791.1	-1.4	1.43e-7	2.042e-6
NPIPA1	ENSG00000183426	Ortho	5450.5	-1.9	1.667e-7	2.082e-6
